姓名 语文 数学 英语 物理 化学 生物 政治 历史 地理
小赵 73 85 80 82 93 41 64 87 55
小钱 33 91 81 92 72 50 50 65 83
小孙 95 64 87 79 34 70 45 72 87
小李 87 34 81 58 73 41 46 74 97
小周 54 58 66 65 42 43 70 33 89
小吴 55 83 80 94 90 86 44 33 64
小郑 84 93 59 94 86 71 69 81 71
小王 75 83 31 53 72 34 33 64 80
小冯 36 74 83 69 57 78 73 59 58
小陈 98 90 64 71 90 65 40 33 89
小楮 90 47 70 34 88 73 69 74 60
小卫 70 67 33 96 94 69 62 72 72
小蒋 82 43 63 70 60 67 54 69 92
小沈 94 95 72 86 78 78 43 95 96
小韩 83 70 36 74 50 56 38 93 78
小杨 86 93 87 46 75 44 45 60 81
小朱 97 91 88 86 86 54 61 56 82
小秦 47 51 64 78 89 91 37 94 61
小尤 74 67 63 53 34 89 56 66 76
小许 50 72 99 31 38 92 62 92 65
小何 86 40 86 57 76 92 79 95 52
小吕 51 33 81 48 95 80 51 81 99
小施 88 74 38 48 78 87 96 88 90
小张 43 87 44 88 95 78 91 42 94
小孔 37 86 88 83 80 90 31 78 37
小曹 63 53 55 94 45 55 73 91 78
小严 36 71 77 60 91 79 90 37 61
小华 53 85 85 72 62 87 94 73 34
小金 78 84 77 42 79 82 50 74 94
小魏 75 57 38 85 58 60 97 99 69
