名次	姓名	语文	数学	英语	物理	化学	生物	政治	历史	地理	总分	平均分
0	平均	69.1	70.7	68.5	69.6	72.0	69.4	60.4	71.0	74.8	625.6	69.5	
1	小沈	94.0	95.0	72.0	86.0	78.0	78.0	43.0	95.0	96.0	737.0	81.9
2	小郑	84.0	93.0	59.0	94.0	86.0	71.0	69.0	81.0	71.0	708.0	78.7
3	小朱	97.0	91.0	88.0	86.0	86.0	54.0	61.0	56.0	82.0	701.0	77.9
4	小施	88.0	74.0	38.0	48.0	78.0	87.0	96.0	88.0	90.0	687.0	76.3
5	小何	86.0	40.0	86.0	57.0	76.0	92.0	79.0	95.0	52.0	663.0	73.7
6	小张	43.0	87.0	44.0	88.0	95.0	78.0	91.0	42.0	94.0	662.0	73.6
7	小赵	73.0	85.0	80.0	82.0	93.0	41.0	64.0	87.0	55.0	660.0	73.3
8	小金	78.0	84.0	77.0	42.0	79.0	82.0	50.0	74.0	94.0	660.0	73.3
9	小华	53.0	85.0	85.0	72.0	62.0	87.0	94.0	73.0	34.0	645.0	71.7
10	小陈	98.0	90.0	64.0	71.0	90.0	65.0	40.0	33.0	89.0	640.0	71.1
11	小魏	75.0	57.0	38.0	85.0	58.0	60.0	97.0	99.0	69.0	638.0	70.9
12	小卫	70.0	67.0	33.0	96.0	94.0	69.0	62.0	72.0	72.0	635.0	70.6
13	小孙	95.0	64.0	87.0	79.0	34.0	70.0	45.0	72.0	87.0	633.0	70.3
14	小吴	55.0	83.0	80.0	94.0	90.0	86.0	44.0	33.0	64.0	629.0	69.9
15	小吕	51.0	33.0	81.0	48.0	95.0	80.0	51.0	81.0	99.0	619.0	68.8
16	小钱	33.0	91.0	81.0	92.0	72.0	50.0	50.0	65.0	83.0	617.0	68.6
17	小杨	86.0	93.0	87.0	46.0	75.0	44.0	45.0	60.0	81.0	617.0	68.6
18	小秦	47.0	51.0	64.0	78.0	89.0	91.0	37.0	94.0	61.0	612.0	68.0
19	小孔	37.0	86.0	88.0	83.0	80.0	90.0	31.0	78.0	37.0	610.0	67.8
20	小曹	63.0	53.0	55.0	94.0	45.0	55.0	73.0	91.0	78.0	607.0	67.4
21	小楮	90.0	47.0	70.0	34.0	88.0	73.0	69.0	74.0	60.0	605.0	67.2
22	小严	36.0	71.0	77.0	60.0	91.0	79.0	90.0	37.0	61.0	602.0	66.9
23	小许	50.0	72.0	99.0	31.0	38.0	92.0	62.0	92.0	65.0	601.0	66.8
24	小蒋	82.0	43.0	63.0	70.0	60.0	67.0	54.0	69.0	92.0	600.0	66.7
25	小李	87.0	34.0	81.0	58.0	73.0	41.0	46.0	74.0	97.0	591.0	65.7
26	小冯	36.0	74.0	83.0	69.0	57.0	78.0	73.0	59.0	58.0	587.0	65.2
27	小韩	83.0	70.0	36.0	74.0	50.0	56.0	38.0	93.0	78.0	578.0	64.2
28	小尤	74.0	67.0	63.0	53.0	34.0	89.0	56.0	66.0	76.0	578.0	64.2
29	小王	75.0	83.0	31.0	53.0	72.0	34.0	33.0	64.0	80.0	525.0	58.3
30	小周	54.0	58.0	66.0	65.0	42.0	43.0	70.0	33.0	89.0	520.0	57.8
